,N_star,D,R_hull,m_mean,m_m2,m_m3,m_m4,s_mean,s_m2,s_m3,s_m4
1091,1679.0,1.5401610684899099,2.9619411399285416,0.8581133911417224,1.4629357835516135,4.049528928532304,7.12042456467158,1.7661750528968212,0.9384165826139833,-0.46100810170594664,1.1076044337296316
1092,738.0,2.4020076401828088,3.6590190956766113,2.367138842339635,1.1288810550252184,0.9790878540197023,1.5776959969397963,1.7985435804589256,0.8747805377293143,0.5068851949738322,1.0854554289670004
1093,994.0,1.98792896843701,3.6016639832057167,1.9967671287332769,1.03637509826935,0.9346508821809829,1.4399327847263748,1.7817353953521777,0.9085257183752258,0.5941919279007494,1.1266317223966833
1094,2185.0,2.7655569625264196,3.6807505940658816,2.3855137873762726,1.2257281954673327,1.150403234075211,1.7753789102500301,1.7980096324019574,0.8758774810381789,0.5554619512769031,1.0955948988895066
1095,514.0,1.233545816808242,3.0548248958867847,0.9448346326993642,1.8410615572940605,3.843632036067735,5.853215893062853,1.7697692936925653,0.9316204415441514,0.4538112798040371,1.1471039918047792
1096,1675.0,1.2123294184912086,2.7724347717069007,0.6077312828912036,1.6285676656002253,4.378792571915777,7.676071201352631,1.7657819782037334,0.9391560069822831,-0.397498556599798,1.1225592386508263
1097,487.0,1.1163999200514445,2.9737467370660062,0.8865933194416635,1.443136228172765,2.621300040928756,3.766095088458418,1.7765549393685678,0.9186144715848652,0.30937825537681996,1.121494432929427
1098,780.0,2.429367336547385,3.7928373259409653,2.2997280800559348,1.2922426439026828,1.3180447087548428,1.952637680046024,1.7834740032515142,0.9051079934052183,0.6100752510348708,1.1264185686546984
1099,1288.0,1.4529914350608164,3.195279718486331,1.0334274754453368,1.211785821914494,2.6819319172931144,4.4486388352260935,1.7738902798977498,0.9237495736855755,0.5195325864310838,1.1365899483125876
1100,2254.0,2.762131151913798,4.1249569915513025,2.5687974838038237,1.4329999088674126,1.5509848426494914,2.2746850804314658,1.79657723899339,0.8788118253249022,0.6047737395718502,1.1083869797579762
