,ra,dec,parallax,parallax_error
194,68.466768,22.841619,6.301,0.047
195,68.477475,26.223751,5.428,0.154
196,68.478011,26.224227000000003,6.172999999999999,0.075
197,68.52584,24.314014,7.553999999999999,0.309
198,68.545851,22.862257999999997,6.182,0.064
199,68.563703,22.841815,5.815,0.552
200,68.630423,17.37217,6.785,0.07200000000000001
201,68.689406,23.134001,5.981,0.185
202,68.73094300000001,24.481309,7.289,0.13
203,68.737269,22.97652,6.147,0.061
204,68.785511,23.194323999999998,7.694,0.138
205,68.80493100000001,17.430412,6.507000000000001,0.07200000000000001
206,68.83425600000001,22.537305,6.196000000000001,0.048
207,68.837149,22.906648999999998,6.178999999999999,0.065
208,68.864102,24.249607,7.7989999999999995,0.054000000000000006
209,68.920653,24.185710999999998,7.986000000000001,0.145
210,68.920712,24.185126999999998,8.264,0.263
211,68.92438,22.56981,6.525,0.16
212,68.925196,22.872876,6.17,0.133
213,68.938712,27.6202,8.835,1.08
214,68.947283,22.839276,6.303999999999999,0.213
215,68.949175,25.395352,7.694,0.215
216,68.96293399999999,22.877674,6.1610000000000005,0.075
217,68.964334,22.819894,6.176,1.391
218,68.967097,22.917742999999998,6.281000000000001,0.113
219,68.96996700000001,22.906373000000002,5.645,0.107
220,68.970333,22.849515,6.388999999999999,0.092
221,68.972966,22.902421,6.3629999999999995,0.085
222,68.975703,22.903679999999998,6.026,0.048
223,68.986852,23.867978,7.9239999999999995,0.182
224,68.995122,24.644507,6.101,0.068
225,68.995597,22.643058,6.292000000000001,0.044000000000000004
226,68.997976,22.641347,7.126,0.214
227,69.005528,17.436612,6.867000000000001,0.066
228,69.04298,21.993364,8.457,0.595
229,69.043317,22.998821,5.84,0.48100000000000004
230,69.07963199999999,25.716271,7.811,0.083
231,69.135439,24.360955999999998,6.294,0.191
232,69.16224799999999,22.969888,5.438,0.33299999999999996
233,69.340553,26.8503,7.755,0.071
234,69.503638,25.982479,6.872999999999999,0.174
235,69.562033,26.194337,6.877000000000001,0.6940000000000001
236,69.567936,23.444419,7.94,0.105
237,69.588939,26.15373,7.23,0.149
238,69.619147,26.180317000000002,7.175,0.052000000000000005
239,69.647067,26.177308,7.465,0.115
240,69.66286,15.770351000000002,7.185,0.055999999999999994
241,69.68765,17.628648000000002,6.754,0.051
242,69.696962,17.623826,6.864,0.091
243,69.744214,23.609673,7.886,0.11900000000000001
244,69.74468,23.399762,7.728,0.151
245,69.756846,23.600728,7.824,0.08
246,69.766535,25.740561,6.945,0.21100000000000002
247,69.776616,23.571552,8.056000000000001,0.16399999999999998
248,69.82262800000001,22.798073000000002,6.566,0.11599999999999999
249,69.824179,22.350866,6.295,0.048
250,69.89020500000001,23.989137,7.867000000000001,0.102
251,69.937038,26.031213,7.307,0.111
252,69.947874,26.027876000000003,6.797000000000001,0.237
253,69.982301,25.750452,6.699,0.239
254,70.002836,23.972434,8.299,0.159
255,70.03337900000001,26.090309,7.336,0.442
256,70.06040899999999,27.48635,7.362,0.387
257,70.165808,25.318291000000002,6.57,0.47600000000000003
258,70.206108,25.855751,7.111000000000001,0.135
259,70.206316,25.855184,7.146,0.055
260,70.28445699999999,25.935285999999998,7.101,0.21
